fold,train_start,train_end,validation_start,validation_end,model,input_window,feature_variant,feature_type,feature_num,factor_group,features,rounds,best_iteration,best_selection_score,validation_rank_ic,validation_universe_return,validation_top5_return,validation_top5_excess_return,validation_top5_excess_return_std,validation_top5_excess_return_min,validation_top5_excess_positive_rate,validation_top5_precision,validation_top10_return,validation_top10_excess_return,validation_top10_excess_return_min,validation_top10_excess_positive_rate,validation_top10_precision,train_groups,validation_groups,train_rows,validation_rows,seconds
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,reversal,37,120,4,0.004596,-0.08918244593869684,0.0018528022019078587,0.006448825588449836,0.004596023386541978,0.01103492679557311,-0.01106851554980191,0.75,0.0,0.00028641106910072284,-0.0015663911328071354,-0.019554077950694287,0.5,0.0,138,4,41025,1200,1.0558152198791504
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,all_window,171,120,91,0.057608,0.11161625902330088,0.0003832443899712719,0.05799137769499794,0.05760813330502666,0.061565487544244867,-0.014398145691860311,0.75,0.1,0.02575372646533651,0.02537048207536524,-0.01023708574231326,0.75,0.07500000000000001,142,4,42225,1200,1.4934089183807373
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,momentum,76,120,5,0.00315,0.0026232332652772992,0.0003832443899712719,0.003532871871720999,0.0031496274817497277,0.007676603524351991,-0.009632587425779396,0.75,0.0,0.002823263437312562,0.0024400190473412896,-0.0054139843721835255,0.5,0.0,142,4,42225,1200,1.192739725112915
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,4,xsec,window+xsec,window_04+xsec,reversal,37,120,96,0.044733,0.12221757773702138,0.0003832443899712719,0.04511636113165878,0.044733116741687506,0.05060223217390848,-0.015479149266514771,0.75,0.15000000000000002,0.03551770936755929,0.03513446497758802,-0.006400172556653464,0.75,0.1,142,4,42225,1200,1.051959753036499
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,all_window,113,120,6,0.022587,0.03147521945477442,-0.00625511027571329,0.01633156668394804,0.02258667695966133,0.021551252556267015,-0.011813822666113576,0.75,0.0,0.007749825599603355,0.014004935875316643,-0.010560776151647171,0.75,0.025,122,4,36231,1196,1.2175588607788086
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,momentum,54,120,5,0.013267,0.20606632859770108,-0.00625511027571329,0.00701219153124839,0.01326730180696168,0.010254891264201831,-0.0032113308067669485,0.75,0.0,0.004537247406551614,0.010792357682264903,-0.007436324793775878,0.75,0.025,122,4,36231,1196,1.0623393058776855
rolling_1,2023-01-09,2026-01-26,2026-01-26,2026-03-09,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,reversal,34,120,0,0.02758,0.1314685958194426,-0.00625511027571329,0.021325288363732396,0.02758039863944569,0.030606386486873,-0.010345111319725714,0.75,0.1,0.0004846783005632476,0.006739788576276537,-0.013284365970571838,0.5,0.05,122,4,36231,1196,0.993823766708374
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,all_window,113,120,5,0.023051,0.18047413898471792,-0.005539163266164473,0.017512251791777088,0.02305141505794156,0.007242362395471046,0.016309336753135235,1.0,0.0,0.010475901677273212,0.016015064943437688,0.012535155447284427,1.0,0.0,126,4,37427,1198,1.2522022724151611
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,momentum,54,120,9,0.030234,0.16283849165255393,-0.005539163266164473,0.02469495446421206,0.030234117730376535,0.020487317504118623,-0.001853906922889205,0.75,0.0,0.01015675471862778,0.01569591798479225,-0.004046537355435344,0.75,0.025,126,4,37427,1198,1.0465006828308105
rolling_2,2023-01-09,2026-03-09,2026-03-09,2026-04-13,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,reversal,34,120,63,0.030084,0.03804815579977007,-0.005539163266164473,0.024544535856693982,0.030083699122858455,0.0165692789045813,0.007604821951633009,1.0,0.0,0.013850580689540948,0.019389743955705422,0.009974101922733913,1.0,0.025,126,4,37427,1198,0.9961938858032227
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,all_window,113,120,97,0.011275,0.052335864692280396,0.0018528022019078587,0.013127675356008693,0.011274873154100836,0.01712008403067947,-0.0038669317731789,0.5,0.0,0.0074065555383640465,0.005553753336456187,-0.008605782839392,0.75,0.025,130,4,38625,1200,1.2312495708465576
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,momentum,54,120,14,0.0197,0.008189427604755616,0.0018528022019078587,0.02155286762281321,0.01970006542090535,0.02288917812047729,-0.0009242170183764147,0.75,0.05,0.016474101395579057,0.014621299193671198,-0.00826342311183301,0.75,0.05,130,4,38625,1200,1.0899879932403564
rolling_3,2023-01-09,2026-04-13,2026-04-13,2026-05-25,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,reversal,34,120,23,0.014597,-0.0744327747029522,0.0018528022019078587,0.01645004751626402,0.014597245314356163,0.03181859947544329,-0.010620726847167437,0.5,0.05,0.010273100697850169,0.00842029849594231,-0.010756821348719919,0.25,0.05,130,4,38625,1200,1.0076520442962646
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,all_window,113,120,113,0.048719,0.14863299918193992,0.0003832443899712719,0.04910208321234677,0.048718838822375495,0.06257355969317706,-0.011676946065757268,0.5,0.1,0.03198274032329209,0.03159949593332082,-0.01072879237345963,0.5,0.1,134,4,39825,1200,1.2072014808654785
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,momentum,54,120,0,0.0143,0.0374514519825256,0.0003832443899712719,0.014683520584367216,0.014300276194395944,0.020240874754425226,-0.014118605436136324,0.75,0.0,0.000930331237032078,0.0005470868470608061,-0.010711488202796318,0.5,0.0,134,4,39825,1200,1.0682268142700195
rolling_4,2023-01-09,2026-05-25,2026-05-25,2026-06-29,xgb_rank_pairwise,12,xsec,window+xsec,window_12+xsec,reversal,34,120,42,0.01955,0.13445849051396494,0.0003832443899712719,0.019933022523764523,0.01954977813379325,0.04768750621056364,-0.024826637078658675,0.5,0.0,0.013289282072219067,0.012906037682247793,-0.02265730051381979,0.75,0.07500000000000001,134,4,39825,1200,1.014136791229248
